,co2_万tCO2,gdp_亿元,energy_万tce,population_万人,人均CO2_tCO2_人,碳强度_tCO2_万元,能源强度_tce_万元,观测排放因子_tCO2_tce,能源效率_GDP_能源,非化石占比,电力占比
co2_万tCO2,1.0,0.296969696969697,0.9030303030303031,0.3333333333333333,0.9878787878787879,0.8181818181818182,0.7818181818181819,0.7818181818181819,-0.7818181818181819,,-0.3696969696969697
gdp_亿元,0.296969696969697,1.0,0.5878787878787879,0.8909090909090909,0.2606060606060606,-0.17575757575757575,-0.09090909090909091,-0.16363636363636364,0.09090909090909091,,-0.6606060606060606
energy_万tce,0.9030303030303031,0.5878787878787879,1.0,0.5272727272727272,0.8787878787878788,0.5393939393939394,0.6121212121212121,0.5151515151515151,-0.6121212121212121,,-0.5393939393939394
population_万人,0.3333333333333333,0.8909090909090909,0.5272727272727272,1.0,0.296969696969697,-0.06666666666666667,-0.06666666666666667,-0.04242424242424243,0.06666666666666667,,-0.3939393939393939
人均CO2_tCO2_人,0.9878787878787879,0.2606060606060606,0.8787878787878788,0.296969696969697,1.0,0.8303030303030303,0.806060606060606,0.793939393939394,-0.806060606060606,,-0.34545454545454546
碳强度_tCO2_万元,0.8181818181818182,-0.17575757575757575,0.5393939393939394,-0.06666666666666667,0.8303030303030303,1.0,0.9030303030303031,0.9393939393939394,-0.9030303030303031,,0.006060606060606061
能源强度_tce_万元,0.7818181818181819,-0.09090909090909091,0.6121212121212121,-0.06666666666666667,0.806060606060606,0.9030303030303031,1.0,0.7575757575757576,-1.0,,0.04242424242424243
观测排放因子_tCO2_tce,0.7818181818181819,-0.16363636363636364,0.5151515151515151,-0.04242424242424243,0.793939393939394,0.9393939393939394,0.7575757575757576,1.0,-0.7575757575757576,,-0.1393939393939394
能源效率_GDP_能源,-0.7818181818181819,0.09090909090909091,-0.6121212121212121,0.06666666666666667,-0.806060606060606,-0.9030303030303031,-1.0,-0.7575757575757576,1.0,,-0.04242424242424243
非化石占比,,,,,,,,,,,
电力占比,-0.3696969696969697,-0.6606060606060606,-0.5393939393939394,-0.3939393939393939,-0.34545454545454546,0.006060606060606061,0.04242424242424243,-0.1393939393939394,-0.04242424242424243,,1.0
