year,category,value_万tCO2,growth_pct
2010,第一产业,907.1542913735044,
2010,第二产业,45240.676706654194,
2010,第三产业,5898.284185338009,
2010,居民生活,4355.63412500179,
2010,增长率%,,
2011,第一产业,1042.4014283881013,
2011,第二产业,52990.79208290355,
2011,第三产业,6584.556439976378,
2011,居民生活,4617.801924306385,
2011,增长率%,,15.6622847261519
2012,第一产业,1176.311096260667,
2012,第二产业,54063.388883908076,
2012,第三产业,7147.774470684835,
2012,居民生活,5157.288617987667,
2012,增长率%,,3.5398047948935307
2013,第一产业,1018.5116719959263,
2013,第二产业,52244.21723642622,
2013,第三产业,7791.472337325053,
2013,居民生活,5736.743337879492,
2013,增长率%,,-1.11602802492069
2014,第一产业,1031.0759262079102,
2014,第二产业,51202.53334645395,
2014,第三产业,7676.076783202002,
2014,居民生活,4983.049122355626,
2014,增长率%,,-2.8420161104781627
2015,第一产业,1173.062861353921,
2015,第二产业,51116.37430412406,
2015,第三产业,8314.530587441044,
2015,居民生活,5511.033123994843,
2015,增长率%,,1.8835169997652113
2016,第一产业,1221.5389796326397,
2016,第二产业,52396.74798416384,
2016,第三产业,8801.01582496857,
2016,居民生活,6144.3640764259,
2016,增长率%,,3.7036466093916642
2017,第一产业,1255.4952474090778,
2017,第二产业,52990.60021870175,
2017,第三产业,9524.014956792378,
2017,居民生活,6719.24372877831,
2017,增长率%,,2.808611870594402
2018,第一产业,1305.8628712895659,
2018,第二产业,52521.98173678579,
2018,第三产业,10422.113376047258,
2018,居民生活,7290.4625666672555,
2018,增长率%,,1.4910994883661877
2019,第一产业,1288.812327681756,
2019,第二产业,54250.67764264089,
2019,第三产业,11150.95713218753,
2019,居民生活,7444.470574999206,
2019,增长率%,,3.6266171022542038
2020,第一产业,1248.9445963242429,
2020,第二产业,52969.40067593684,
2020,第三产业,10906.02750433484,
2020,居民生活,7547.210727675597,
2020,增长率%,,-1.973879811404733
