indicator_key,indicator_name,unit,year,value
carbon_intensity,碳强度(碳排放/GDP),tCO2/万元,2010,1.3618845178492696
carbon_intensity,碳强度(碳排放/GDP),tCO2/万元,2011,1.4187069130219816
carbon_intensity,碳强度(碳排放/GDP),tCO2/万元,2012,1.33245848564578
carbon_intensity,碳强度(碳排放/GDP),tCO2/万元,2013,1.2009579631404328
carbon_intensity,碳强度(碳排放/GDP),tCO2/万元,2014,1.0744514326937817
carbon_intensity,碳强度(碳排放/GDP),tCO2/万元,2015,1.0079754996204118
carbon_intensity,碳强度(碳排放/GDP),tCO2/万元,2016,0.9697224827616754
carbon_intensity,碳强度(碳排放/GDP),tCO2/万元,2017,0.9300265339460694
carbon_intensity,碳强度(碳排放/GDP),tCO2/万元,2018,0.88462237948469
carbon_intensity,碳强度(碳排放/GDP),tCO2/万元,2019,0.866055158476277
carbon_intensity,碳强度(碳排放/GDP),tCO2/万元,2020,0.8190199752694506
co2_per_capita,人均碳排放量,tCO2/人,2010,7.161979510567195
co2_per_capita,人均碳排放量,tCO2/人,2011,8.125816213989992
co2_per_capita,人均碳排放量,tCO2/人,2012,8.313324249522136
co2_per_capita,人均碳排放量,tCO2/人,2013,8.147679530972603
co2_per_capita,人均碳排放量,tCO2/人,2014,7.831490303822327
co2_per_capita,人均碳排放量,tCO2/人,2015,7.946354281677239
co2_per_capita,人均碳排放量,tCO2/人,2016,8.175907647730192
co2_per_capita,人均碳排放量,tCO2/人,2017,8.363691742464779
co2_per_capita,人均碳排放量,tCO2/人,2018,8.465592516861209
co2_per_capita,人均碳排放量,tCO2/人,2019,8.74903101524588
co2_per_capita,人均碳排放量,tCO2/人,2020,8.568018941502395
emission_factor_observed,观测排放因子(碳/能),tCO2/tce,2010,2.394294532501198
emission_factor_observed,观测排放因子(碳/能),tCO2/tce,2011,2.4271511384167486
emission_factor_observed,观测排放因子(碳/能),tCO2/tce,2012,2.4108749434724297
emission_factor_observed,观测排放因子(碳/能),tCO2/tce,2013,2.36673860601075
emission_factor_observed,观测排放因子(碳/能),tCO2/tce,2014,2.302169388857736
emission_factor_observed,观测排放因子(碳/能),tCO2/tce,2015,2.275804295335702
emission_factor_observed,观测排放因子(碳/能),tCO2/tce,2016,2.288172104106211
emission_factor_observed,观测排放因子(碳/能),tCO2/tce,2017,2.297092214281089
emission_factor_observed,观测排放因子(碳/能),tCO2/tce,2018,2.2790843787939736
emission_factor_observed,观测排放因子(碳/能),tCO2/tce,2019,2.299164337880691
emission_factor_observed,观测排放因子(碳/能),tCO2/tce,2020,2.3103673866710333
energy_intensity,能源强度(能耗/GDP),tce/万元,2010,0.568804087952612
energy_intensity,能源强度(能耗/GDP),tce/万元,2011,0.5845152741280942
energy_intensity,能源强度(能耗/GDP),tce/万元,2012,0.5526866871520985
energy_intensity,能源强度(能耗/GDP),tce/万元,2013,0.5074316023283637
energy_intensity,能源强度(能耗/GDP),tce/万元,2014,0.4667125876549382
energy_intensity,能源强度(能耗/GDP),tce/万元,2015,0.44290956901974127
energy_intensity,能源强度(能耗/GDP),tce/万元,2016,0.42379787823716225
energy_intensity,能源强度(能耗/GDP),tce/万元,2017,0.40487122291567895
energy_intensity,能源强度(能耗/GDP),tce/万元,2018,0.3881481474384055
energy_intensity,能源强度(能耗/GDP),tce/万元,2019,0.3766825816699052
energy_intensity,能源强度(能耗/GDP),tce/万元,2020,0.35449772187511774
energy_per_capita,人均能源消费量,tce/人,2010,2.991269208256278
energy_per_capita,人均能源消费量,tce/人,2011,3.347882249842312
energy_per_capita,人均能源消费量,tce/人,2012,3.4482602559004136
energy_per_capita,人均能源消费量,tce/人,2013,3.4425768482755696
energy_per_capita,人均能源消费量,tce/人,2014,3.4017871759245595
energy_per_capita,人均能源消费量,tce/人,2015,3.491668548988778
energy_per_capita,人均能源消费量,tce/人,2016,3.573117438613213
energy_per_capita,人均能源消费量,tce/人,2017,3.64099085377046
energy_per_capita,人均能源消费量,tce/人,2018,3.7144708619085693
energy_per_capita,人均能源消费量,tce/人,2019,3.805309116489909
energy_per_capita,人均能源消费量,tce/人,2020,3.70850930069953
gdp_per_capita,人均GDP,万元/人,2010,5.258874314745582
gdp_per_capita,人均GDP,万元/人,2011,5.727621497720925
gdp_per_capita,人均GDP,万元/人,2012,6.239086875185502
gdp_per_capita,人均GDP,万元/人,2013,6.784317004457768
gdp_per_capita,人均GDP,万元/人,2014,7.288826712425538
gdp_per_capita,人均GDP,万元/人,2015,7.8834795931743535
gdp_per_capita,人均GDP,万元/人,2016,8.431182934364893
gdp_per_capita,人均GDP,万元/人,2017,8.992960348107417
gdp_per_capita,人均GDP,万元/人,2018,9.569724566308826
gdp_per_capita,人均GDP,万元/人,2019,10.102163735897353
gdp_per_capita,人均GDP,万元/人,2020,10.461306439667224
